Nose,378.923,69.078
Neck,340.642,104.682
RShoulder,362.404,99.329
RElbow,373.44,162.393
RWrist,389.889,217.136
LShoulder,321.445,112.903
LElbow,321.406,167.809
LWrist,321.478,197.991
MidHip,343.307,225.43
RHip,359.829,228.067
RKnee,365.285,313.037
RAnkle,365.262,395.383
LHip,335.031,225.357
LKneeLAnkle,337.789,310.354
REye,337.852,387.288
LEye,373.465,58.0432
REar,0,0
LEar,359.774,58.1195
LBigToe,0,0
LSmallToe,362.44,398.175
LHeel,346.105,398.113
RBigToe,335.048,403.522
RSmallToe,395.425,400.946
RHeel,389.923,403.736
Background,359.819,403.766
