Nose,337.896,66.2758
Neck,370.691,99.2877
RShoulder,365.343,99.2734
RElbow,365.276,162.282
RWrist,348.85,203.425
LShoulder,370.773,99.2439
LElbow,368.042,164.986
LWrist,359.814,219.879
MidHip,362.51,219.936
RHip,362.623,219.85
RKnee,362.624,302.15
RAnkle,378.893,381.792
LHip,362.473,225.298
LKneeLAnkle,359.676,304.943
REye,362.486,387.242
LEye,0,0
REar,340.657,55.4022
LEar,0,0
LBigToe,359.888,55.4937
LSmallToe,335.046,403.542
LHeel,340.606,406.343
RBigToe,376.24,403.586
RSmallToe,340.525,400.848
RHeel,346.086,400.79
Background,389.959,398.086
