Nose,343.387,71.7081
Neck,362.478,112.93
RShoulder,337.76,115.72
RElbow,321.462,167.888
RWrist,315.885,209.01
LShoulder,389.926,107.467
LElbow,403.499,159.588
LWrist,389.894,208.817
MidHip,359.624,211.736
RHip,337.873,211.762
RKnee,337.684,310.341
RAnkle,337.893,395.381
LHip,376.264,211.748
LKneeLAnkle,376.211,304.962
REye,376.191,392.697
LEye,340.608,58.1601
REar,357.045,58.0924
LEar,0,0
LBigToe,378.964,63.5394
LSmallToe,359.644,409.143
LHeel,370.751,411.872
RBigToe,381.581,403.619
RSmallToe,337.737,409.229
RHeel,324.084,406.506
Background,340.694,403.569
