Nose,378.855,60.84
Neck,343.26,104.673
RShoulder,376.203,99.3775
RElbow,384.456,165.045
RWrist,398.094,219.887
LShoulder,318.527,107.48
LElbow,315.718,165.16
LWrist,315.914,211.621
MidHip,343.377,211.736
RHip,362.606,214.379
RKnee,362.644,302.23
RAnkle,365.328,400.888
LHip,329.575,211.753
LKneeLAnkle,332.384,310.354
REye,335.125,403.654
LEye,373.511,55.3951
REar,0,0
LEar,362.58,58.1766
LBigToe,337.699,66.3159
LSmallToe,340.712,409.17
LHeel,335.05,409.078
RBigToe,335.074,411.858
RSmallToe,381.676,403.641
RHeel,384.52,406.354
Background,362.53,409.114
