Nose,359.636,69.0724
Neck,359.714,115.69
RShoulder,321.39,112.979
RElbow,318.562,165.108
RWrist,321.404,217.13
LShoulder,384.57,118.388
LElbow,400.804,181.49
LWrist,400.902,225.375
MidHip,359.646,219.943
RHip,0,0
RKnee,0,0
RAnkle,0,0
LHip,359.742,219.934
LKneeLAnkle,373.451,313.126
REye,348.807,403.551
LEye,351.511,58.1147
REar,359.863,58.1167
LEar,343.289,63.5734
LBigToe,0,0
LSmallToe,359.712,409.235
LHeel,346.096,406.554
RBigToe,348.841,406.509
RSmallToe,0,0
RHeel,0,0
Background,0,0
Nose,0,0
Neck,0,0
RShoulder,0,0
RElbow,0,0
RWrist,0,0
LShoulder,321.458,110.225
LElbow,318.539,165.106
LWrist,318.753,217.136
MidHip,0,0
RHip,0,0
RKnee,0,0
RAnkle,0,0
LHip,0,0
LKneeLAnkle,0,0
REye,0,0
LEye,0,0
REar,0,0
LEar,0,0
LBigToe,343.31,66.292
LSmallToe,0,0
LHeel,0,0
RBigToe,0,0
RSmallToe,0,0
RHeel,0,0
Background,0,0
Nose,0,0
Neck,0,0
RShoulder,384.553,118.425
RElbow,398.177,178.736
RWrist,400.841,225.294
LShoulder,0,0
LElbow,0,0
LWrist,0,0
MidHip,0,0
RHip,0,0
RKnee,0,0
RAnkle,0,0
LHip,0,0
LKneeLAnkle,0,0
REye,0,0
LEye,0,0
REar,0,0
LEar,0,0
LBigToe,0,0
LSmallToe,0,0
LHeel,0,0
RBigToe,0,0
RSmallToe,0,0
RHeel,0,0
Background,0,0
