Nose,0,0
Neck,359.653,104.746
RShoulder,387.216,102.023
RElbow,403.581,165.09
RWrist,403.686,225.306
LShoulder,318.741,104.74
LElbow,315.854,170.499
LWrist,315.815,228.076
MidHip,359.726,217.124
RHip,381.662,214.451
RKnee,379.02,315.775
RAnkle,381.705,403.709
LHip,337.754,219.874
LKneeLAnkle,340.469,313.112
REye,343.318,406.282
LEye,0,0
REar,0,0
LEar,373.455,58.1905
LBigToe,337.921,63.5378
LSmallToe,343.285,403.663
LHeel,335.024,406.319
RBigToe,346.085,417.366
RSmallToe,381.652,403.689
RHeel,392.632,406.35
Background,381.603,414.589
