Nose,0,0
Neck,359.889,118.319
RShoulder,392.737,118.336
RElbow,403.745,170.578
RWrist,403.604,219.944
LShoulder,326.871,115.725
LElbow,318.511,167.88
LWrist,315.897,214.429
MidHip,359.75,225.388
RHip,381.657,225.433
RKnee,381.586,313.168
RAnkle,381.556,403.585
LHip,337.831,225.41
LKneeLAnkle,340.56,313.048
REye,343.258,403.754
LEye,0,0
REar,0,0
LEar,381.737,71.7468
LBigToe,343.281,68.9916
LSmallToe,348.787,409.113
LHeel,337.897,409.124
RBigToe,343.336,417.363
RSmallToe,376.169,406.422
RHeel,384.495,406.517
Background,378.869,409.243
