Nose,343.346,69.1013
Neck,365.277,104.781
RShoulder,354.316,104.737
RElbow,340.532,170.603
RWrist,324.156,217.182
LShoulder,384.356,104.672
LElbow,384.361,162.386
LWrist,368.067,211.708
MidHip,357.01,222.592
RHip,340.643,219.916
RKnee,337.92,302.148
RAnkle,340.57,384.459
LHip,365.233,222.66
LKneeLAnkle,362.528,307.615
REye,365.267,387.261
LEye,340.664,58.1149
REar,357.025,58.0684
LEar,0,0
LBigToe,378.918,60.8347
LSmallToe,335.116,403.715
LHeel,346.092,406.496
RBigToe,378.937,400.946
RSmallToe,321.448,403.594
RHeel,318.749,400.836
Background,343.299,395.365
