Nose,381.559,68.9905
Neck,359.622,112.865
RShoulder,337.731,107.505
RElbow,337.809,164.996
RWrist,348.767,211.641
LShoulder,378.859,112.932
LElbow,384.44,165.175
LWrist,398.194,208.952
MidHip,362.526,217.203
RHip,348.765,219.943
RKnee,357.01,313.128
RAnkle,343.41,400.943
LHip,381.645,214.471
LKneeLAnkle,384.442,307.688
REye,381.731,398.147
LEye,367.998,58.0639
REar,381.64,55.4903
LEar,348.824,60.8874
LBigToe,0,0
LSmallToe,395.374,409.173
LHeel,400.851,406.405
RBigToe,378.87,403.7
RSmallToe,376.166,414.572
RHeel,362.43,417.324
Background,340.635,406.403
