Nose,337.741,71.8186
Neck,359.875,104.666
RShoulder,389.966,102.046
RElbow,403.537,164.994
RWrist,403.623,211.625
LShoulder,329.572,102.013
LElbow,318.554,167.794
LWrist,315.864,228.178
MidHip,362.426,209.007
RHip,381.787,208.972
RKnee,384.424,302.221
RAnkle,384.468,400.942
LHip,340.581,211.661
LKneeLAnkle,340.662,307.674
REye,343.413,395.427
LEye,0,0
REar,337.697,60.8378
LEar,376.236,58.2015
LBigToe,340.613,63.5803
LSmallToe,335.068,392.664
LHeel,324.153,398.127
RBigToe,354.208,406.336
RSmallToe,387.166,403.538
RHeel,400.952,403.633
Background,384.385,409.12
